,matchday,home_team,away_team,season,competition,correct_score,1N2_1,1N2_N,1N2_2,home_team_rank_FIFA,away_team_rank_FIFA,home_team_trend,away_team_trend,home_team_odd_trend,away_team_odd_trend,target,best_odd_won,corr_score_home,corr_score_away
3651,2018-06-21,France,Peru,2018,world-cup,1:0,1.61,3.82,6.53,4.833333333333333,15.5,10.0,9.0,2.0725000000000007,1.4250000000000007,0.0,True,0.9990988604457783,0.9699088499635932
3652,2018-06-22,Brazil,Costa Rica,2018,world-cup,2:0,1.2,6.65,18.67,2.583333333333333,30.5,9.0,9.0,2.0750000000000006,2.517500000000001,0.0,True,0.9954543130867585,0.8687680563573815
3653,2018-06-22,Serbia,Switzerland,2018,world-cup,1:2,2.74,3.01,2.93,33.583333333333336,7.5,9.0,11.0,2.950000000000001,3.585000000000001,2.0,False,0.8446877845160874,0.9933992677987828
3654,2018-06-22,Nigeria,Iceland,2018,world-cup,2:0,2.97,3.06,2.67,47.75,26.83333333333333,10.0,10.0,3.2200000000000006,3.4800000000000004,0.0,False,0.787146478429325,0.8075397259181798
3655,2018-06-23,South Korea,Mexico,2018,world-cup,1:2,5.53,3.76,1.7,56.41666666666666,15.583333333333334,3.0,9.0,1.4225000000000003,1.5800000000000007,2.0,True,0.8963752173487439,0.9990426906465364
3656,2018-06-23,Belgium,Tunisia,2018,world-cup,5:2,1.33,5.05,11.08,2.9166666666666665,23.08333333333333,9.0,6.0,1.5475000000000008,1.6650000000000005,0.0,True,0.9204826764858683,0.8660254037844386
3657,2018-06-23,Germany,Sweden,2018,world-cup,2:1,1.46,4.58,7.36,6.666666666666667,18.33333333333333,6.0,6.0,1.4875000000000005,1.2975000000000008,0.0,True,0.9893982445856679,0.9923312563141787
3658,2018-06-24,Poland,Colombia,2018,world-cup,0:3,3.44,3.43,2.19,13.166666666666666,13.916666666666666,8.0,11.0,2.5550000000000006,2.312500000000001,2.0,True,0.9709094655553906,0.9671611198538264
3659,2018-06-24,Japan,Senegal,2018,world-cup,2:2,3.16,2.92,2.63,53.91666666666666,25.25,13.0,11.0,1.6725000000000008,2.0700000000000007,1.0,False,0.9212542028409479,0.9849729768917007
3660,2018-06-24,England,Panama,2018,world-cup,6:1,1.22,6.24,17.34,10.0,61.083333333333336,12.0,9.0,1.3675000000000006,1.4275000000000009,0.0,True,0.9490183559041601,0.8904397886773414
3661,2018-06-25,Uruguay,Russia,2018,world-cup,3:0,2.72,3.04,2.92,13.166666666666666,55.75,7.0,8.0,3.642500000000001,3.5100000000000007,0.0,True,0.7857142857142857,0.991964898290899
3662,2018-06-25,Saudi Arabia,Egypt,2018,world-cup,2:1,5.14,3.59,1.77,68.33333333333333,50.5,11.0,7.0,3.1100000000000003,4.2475000000000005,0.0,False,0.8584639760913246,0.4717154728273949
3663,2018-06-25,Spain,Morocco,2018,world-cup,2:2,1.36,5.02,9.72,7.916666666666667,42.41666666666666,6.0,6.0,4.2175,4.1875,1.0,False,0.9733596747925446,0.9700399895317258
3664,2018-06-25,Iran,Portugal,2018,world-cup,1:1,6.13,3.99,1.6,32.5,4.75,9.0,8.0,3.3775000000000004,3.642500000000001,1.0,False,0.9404781634759504,0.986666070043373
3665,2018-06-26,Denmark,France,2018,world-cup,0:0,5.27,2.74,2.06,11.333333333333334,4.833333333333333,8.0,7.0,1.8875000000000008,3.015000000000001,1.0,False,0.98838149080864,0.9990988604457783
3666,2018-06-26,Australia,Peru,2018,world-cup,0:2,2.89,3.47,2.47,38.91666666666666,15.5,6.0,9.0,2.3775000000000004,4.125,2.0,True,0.9337494295517476,0.9699088499635932
