Game,Competition,Score,opening,closing
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,1.5,2.79125,2.79125
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,3.5,1.2125,1.2125
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,0.5,8.357142857142858,8.285714285714286
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,5.5,1.016,1.016
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,4.5,1.0614285714285716,1.0614285714285716
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,1,5.9,5.9
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,4,1.08,1.08
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,3,1.31,1.31
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,2.5,1.720909090909091,1.289090909090909
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,3,2.28,1.39
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,2,1.37,1.1
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,3.5,2.448888888888889,1.6466666666666667
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,0.5,1.01,1.0
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,4,4.3,2.12
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,4.5,4.535,2.54125
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,1.5,1.1828571428571428,1.0585714285714285
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,5.5,6.91875,4.18125
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,6.5,11.25,7.416666666666667
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,7.5,15.0,10.0
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,8.5,13.0,15.0
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,5,3.7,3.7
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,2.5,2.1354545454545453,3.4272727272727277
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,3,1.55,2.75
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,2,2.85,5.9
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,3.5,1.6011111111111112,2.121111111111111
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,0.5,13.5,18.0
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,4,1.18,1.64
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,4.5,1.21,1.46125
