oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won,home_team_rank_FIFA,away_team_rank_FIFA,home_score,away_score,diff_score,home_points,away_points
soccer/north-central-america/concacaf-nations-league-2019-2020/el-salvador-dominican-republic-xAsBWmJB,19.11.2019,El Salvador,Dominican Republic,2:0,1.3,4.72,8.14,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-19,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.3,True,70.5,155.125,2.0,0.0,2.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/grenada-belize-APCRYIrr,18.11.2019,Grenada,Belize,3:2,1.54,3.69,5.42,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-18,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.54,True,166.125,166.75,3.0,2.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/el-salvador-montserrat-rmr7XT35,17.11.2019,El Salvador,Montserrat,1:0,1.06,9.96,19.71,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-17,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.06,True,70.5,191.75,1.0,0.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/antigua-and-barbuda-jamaica-hnigqR2H,16.11.2019,Antigua and Barbuda,Jamaica,0:2,11.63,7.42,1.13,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-16,2019-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.13,True,125.25,50.5,0.0,2.0,2.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/guyana-aruba-6kecroIN,16.11.2019,Guyana,Aruba,4:2,1.18,6.01,10.98,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-16,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.18,True,173.625,193.125,4.0,2.0,2.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/suriname-dominica-Cj0Bk2Pj,15.11.2019,Suriname,Dominica,4:0,1.17,6.37,11.76,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-15,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.17,True,147.875,167.8125,4.0,0.0,4.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/aruba-jamaica-AN1lp7mB,16.10.2019,Aruba,Jamaica,0:6,13.78,6.93,1.13,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-10-16,2019-10,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.13,True,193.125,50.5,0.0,6.0,6.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/dominican-republic-montserrat-OnyezWJn,16.10.2019,Dominican Republic,Montserrat,0:0,1.4,4.33,6.23,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-10-16,2019-10,north-central-america,2020,concacaf-nations-league-2019,N,1.0,4.33,False,155.125,191.75,0.0,0.0,0.0,1.0,1.0
soccer/north-central-america/concacaf-nations-league-2019-2020/guyana-antigua-and-barbuda-WW2pomY4,15.10.2019,Guyana,Antigua and Barbuda,5:1,1.61,3.91,4.46,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-10-15,2019-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.61,True,173.625,125.25,5.0,1.0,4.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/dominica-nicaragua-h6JveO1T,14.10.2019,Dominica,Nicaragua,0:4,3.13,3.2,2.12,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-10-14,2019-10,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.12,True,167.8125,138.5,0.0,4.0,4.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/jamaica-aruba-O63tnTIb,13.10.2019,Jamaica,Aruba,2:0,1.01,14.36,35.34,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-10-13,2019-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.01,True,50.5,193.125,2.0,0.0,2.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/montserrat-el-salvador-fDWjyC4t,13.10.2019,Montserrat,El Salvador,0:2,5.78,4.05,1.47,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-10-13,2019-10,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.47,True,191.75,70.5,0.0,2.0,2.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/nicaragua-dominica-ptGWdpXG,12.10.2019,Nicaragua,Dominica,3:1,1.37,4.34,6.96,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-10-12,2019-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.37,True,138.5,167.8125,3.0,1.0,2.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/antigua-and-barbuda-guyana-pG4xm93h,11.10.2019,Antigua and Barbuda,Guyana,2:1,3.41,3.41,1.92,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-10-11,2019-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,3.41,False,125.25,173.625,2.0,1.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/dominican-republic-el-salvador-GrVvUfcD,11.09.2019,Dominican Republic,El Salvador,1:0,6.57,3.97,1.42,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-09-11,2019-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,6.57,False,155.125,70.5,1.0,0.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/guyana-jamaica-2iFXmkln,10.09.2019,Guyana,Jamaica,0:4,6.47,4.48,1.38,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-09-10,2019-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.38,True,173.625,50.5,0.0,4.0,4.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/suriname-nicaragua-OQRNb624,09.09.2019,Suriname,Nicaragua,6:0,2.91,3.24,2.21,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-09-09,2019-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.91,False,147.875,138.5,6.0,0.0,6.0,3.0,0.0
