,oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won
36,soccer/north-central-america/concacaf-nations-league-2019-2020/el-salvador-barbados-tbl8hOxp,14.10.2018,El Salvador,Barbados,3:0,1.36,4.96,6.21,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-14,2018-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.36,True
37,soccer/north-central-america/concacaf-nations-league-2019-2020/bahamas-antigua-and-barbuda-OINBCqUF,13.10.2018,Bahamas,Antigua and Barbuda,0:6,7.96,5.98,1.22,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-13,2018-10,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.22,True
38,soccer/north-central-america/concacaf-nations-league-2019-2020/dominican-republic-cayman-islands-xQsHj27d,13.10.2018,Dominican Republic,Cayman Islands,3:0,1.07,9.4,17.33,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-13,2018-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.07,True
39,soccer/north-central-america/concacaf-nations-league-2019-2020/curacao-grenada-AB55eigO,11.09.2018,Curacao,Grenada,10:0,1.06,10.03,21.82,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-11,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.06,True
40,soccer/north-central-america/concacaf-nations-league-2019-2020/haiti-sint-maarten-zgZNDY8h,11.09.2018,Haiti,Sint Maarten,13:0,1.0,18.0,28.0,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-11,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.0,True
41,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-martin-guadeloupe-SSZJEEgn,11.09.2018,Saint Martin,Guadeloupe,0:3,26.0,12.5,1.03,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-11,2018-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.03,True
42,soccer/north-central-america/concacaf-nations-league-2019-2020/aruba-bermuda-n9Ep0Fvg,10.09.2018,Aruba,Bermuda,3:1,3.67,3.5,1.83,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-10,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,3.67,False
43,soccer/north-central-america/concacaf-nations-league-2019-2020/jamaica-cayman-islands-xb7ccDOB,10.09.2018,Jamaica,Cayman Islands,4:0,1.01,19.5,33.33,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-10,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.01,True
44,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-kitts-and-nevis-puerto-rico-GzRSsYOO,10.09.2018,Saint Kitts and Nevis,Puerto Rico,1:0,1.77,3.65,3.8,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-10,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.77,True
45,soccer/north-central-america/concacaf-nations-league-2019-2020/bonaire-dominican-republic-lxyGFfvt,09.09.2018,Bonaire,Dominican Republic,0:5,12.0,7.3,1.15,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-09,2018-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.15,True
